User Number,Birth Date,Sex,Tastes
0,2004.02.10,Male,Calm Luxury Indoor Practical Minimalist Modern Reserved
1,1987.11.22,Male,Calm Cost-Effective Outdoor Creative Minimalist Traditional Reserved
2,2002.04.17,Male,Calm Luxury Outdoor Practical Minimalist Modern Reserved
3,2003.10.28,Female,Noisy Cost-Effective Outdoor Practical Minimalist Modern Reserved
4,2005.10.04,Male,Noisy Luxury Outdoor Practical Maximalist Traditional Outgoing
5,1993.03.12,Female,Calm Cost-Effective Indoor Creative Maximalist Modern Outgoing
6,1994.08.20,Male,Noisy Luxury Outdoor Practical Maximalist Traditional Reserved
7,1991.10.24,Female,Noisy Luxury Indoor Practical Maximalist Traditional Reserved
8,2005.07.28,Male,Noisy Cost-Effective Outdoor Creative Maximalist Traditional Reserved
9,1990.04.22,Male,Noisy Cost-Effective Outdoor Creative Minimalist Modern Outgoing
10,2000.11.12,Male,Calm Luxury Indoor Creative Minimalist Traditional Outgoing
11,1988.09.28,Male,Noisy Luxury Outdoor Practical Minimalist Modern Outgoing
12,2002.02.20,Female,Noisy Luxury Outdoor Creative Minimalist Modern Reserved
13,2000.03.19,Male,Calm Cost-Effective Outdoor Practical Minimalist Modern Reserved
14,1999.09.12,Male,Noisy Luxury Indoor Creative Minimalist Modern Reserved
15,1989.02.18,Female,Calm Cost-Effective Indoor Practical Maximalist Modern Outgoing
16,1998.06.19,Female,Calm Cost-Effective Indoor Practical Maximalist Modern Reserved
17,1999.11.07,Female,Calm Luxury Indoor Practical Minimalist Modern Outgoing
18,1986.11.14,Female,Calm Luxury Outdoor Practical Maximalist Modern Reserved
19,1996.07.12,Male,Calm Luxury Indoor Creative Maximalist Traditional Reserved
20,1985.04.21,Male,Calm Luxury Indoor Creative Maximalist Traditional Reserved
21,2005.10.23,Female,Noisy Cost-Effective Indoor Practical Minimalist Traditional Outgoing
22,2001.03.13,Female,Noisy Luxury Indoor Practical Maximalist Traditional Reserved
23,2001.10.27,Male,Noisy Cost-Effective Outdoor Creative Maximalist Traditional Reserved
24,1993.12.07,Female,Calm Luxury Outdoor Creative Maximalist Modern Outgoing
25,1999.12.15,Male,Noisy Luxury Outdoor Creative Maximalist Modern Reserved
26,2005.06.17,Female,Calm Luxury Outdoor Practical Maximalist Traditional Outgoing
27,1987.07.25,Male,Noisy Cost-Effective Indoor Practical Minimalist Traditional Outgoing
28,2003.05.21,Male,Calm Cost-Effective Outdoor Creative Maximalist Traditional Outgoing
29,1989.11.15,Female,Noisy Cost-Effective Indoor Creative Minimalist Modern Reserved
30,1989.04.02,Male,Noisy Luxury Indoor Creative Maximalist Modern Outgoing
31,1987.04.16,Male,Calm Cost-Effective Indoor Creative Maximalist Traditional Reserved
32,2003.09.08,Male,Noisy Cost-Effective Indoor Creative Maximalist Modern Outgoing
33,2005.09.20,Male,Calm Luxury Indoor Creative Maximalist Traditional Reserved
34,1992.09.19,Male,Noisy Cost-Effective Outdoor Practical Maximalist Traditional Reserved
35,1988.12.16,Female,Calm Luxury Outdoor Practical Minimalist Modern Outgoing
36,1990.03.19,Female,Noisy Luxury Outdoor Practical Maximalist Traditional Outgoing
37,1991.04.12,Male,Noisy Cost-Effective Indoor Creative Minimalist Traditional Reserved
38,2000.04.21,Female,Calm Cost-Effective Outdoor Creative Minimalist Traditional Outgoing
39,1985.12.17,Female,Calm Cost-Effective Indoor Creative Maximalist Modern Outgoing
40,1996.11.16,Male,Noisy Cost-Effective Indoor Creative Minimalist Traditional Reserved
41,1987.09.04,Female,Noisy Luxury Outdoor Practical Maximalist Traditional Outgoing
42,2005.12.08,Female,Calm Cost-Effective Indoor Practical Maximalist Modern Outgoing
43,2002.06.07,Female,Calm Luxury Outdoor Creative Minimalist Modern Outgoing
44,1996.11.20,Female,Noisy Cost-Effective Outdoor Creative Maximalist Modern Outgoing
45,1993.10.03,Male,Noisy Luxury Outdoor Practical Maximalist Traditional Outgoing
46,1988.08.25,Male,Calm Luxury Outdoor Creative Maximalist Traditional Outgoing
47,1994.01.18,Female,Noisy Luxury Indoor Creative Minimalist Modern Outgoing
48,1988.01.15,Female,Noisy Luxury Indoor Practical Minimalist Traditional Reserved
49,1995.03.04,Female,Calm Cost-Effective Indoor Practical Minimalist Modern Outgoing
50,1994.01.03,Male,Noisy Luxury Indoor Creative Maximalist Modern Outgoing
51,1992.07.14,Male,Noisy Cost-Effective Outdoor Creative Maximalist Traditional Outgoing
52,1988.05.10,Male,Noisy Cost-Effective Outdoor Practical Minimalist Traditional Outgoing
53,1988.04.06,Female,Noisy Luxury Outdoor Creative Minimalist Modern Reserved
54,1986.06.23,Male,Noisy Luxury Outdoor Creative Minimalist Modern Outgoing
55,1999.06.26,Female,Noisy Luxury Indoor Practical Maximalist Traditional Outgoing
56,1997.03.20,Male,Noisy Cost-Effective Indoor Creative Minimalist Traditional Reserved
57,2004.06.28,Female,Calm Luxury Outdoor Creative Minimalist Modern Reserved
58,1997.04.15,Male,Noisy Cost-Effective Indoor Practical Maximalist Modern Outgoing
59,1985.08.05,Female,Calm Cost-Effective Outdoor Creative Maximalist Traditional Reserved
60,1988.06.04,Female,Noisy Cost-Effective Indoor Practical Minimalist Traditional Outgoing
61,1989.09.08,Female,Noisy Cost-Effective Indoor Practical Maximalist Traditional Outgoing
62,2002.08.09,Male,Noisy Luxury Indoor Practical Minimalist Modern Reserved
63,1988.08.23,Male,Noisy Luxury Outdoor Creative Maximalist Modern Outgoing
64,1988.01.13,Female,Calm Cost-Effective Outdoor Practical Maximalist Traditional Reserved
65,1994.05.23,Female,Calm Cost-Effective Indoor Practical Minimalist Modern Reserved
66,2000.08.07,Female,Noisy Cost-Effective Indoor Creative Maximalist Modern Reserved
67,1993.04.21,Male,Noisy Cost-Effective Indoor Creative Maximalist Modern Reserved
68,2003.04.24,Male,Noisy Cost-Effective Indoor Creative Minimalist Modern Reserved
69,2004.08.18,Female,Calm Cost-Effective Outdoor Practical Minimalist Modern Reserved
70,1996.04.13,Male,Noisy Luxury Indoor Creative Maximalist Traditional Reserved
71,2001.01.06,Male,Noisy Cost-Effective Outdoor Creative Minimalist Modern Outgoing
72,2002.06.04,Female,Noisy Luxury Outdoor Practical Maximalist Traditional Reserved
73,2000.11.02,Female,Calm Cost-Effective Outdoor Creative Maximalist Traditional Reserved
74,2005.12.06,Female,Calm Cost-Effective Outdoor Practical Minimalist Modern Outgoing
75,1998.04.18,Male,Calm Cost-Effective Outdoor Practical Maximalist Modern Outgoing
76,2004.08.10,Male,Calm Cost-Effective Outdoor Creative Minimalist Modern Outgoing
77,1989.03.05,Male,Calm Cost-Effective Outdoor Practical Minimalist Modern Reserved
78,1991.04.28,Female,Calm Luxury Indoor Practical Maximalist Traditional Reserved
79,1998.12.09,Male,Noisy Luxury Indoor Creative Maximalist Modern Outgoing
80,1989.07.15,Male,Calm Cost-Effective Outdoor Creative Maximalist Modern Outgoing
81,1993.11.21,Male,Noisy Luxury Outdoor Practical Minimalist Modern Outgoing
82,2000.11.19,Female,Calm Cost-Effective Indoor Practical Minimalist Traditional Reserved
83,2005.01.15,Male,Noisy Cost-Effective Indoor Practical Maximalist Traditional Outgoing
84,1999.09.07,Male,Noisy Cost-Effective Outdoor Practical Minimalist Modern Outgoing
85,1997.01.23,Male,Calm Cost-Effective Indoor Practical Maximalist Traditional Outgoing
86,2001.03.22,Female,Calm Cost-Effective Indoor Practical Minimalist Traditional Reserved
87,1992.04.06,Male,Noisy Cost-Effective Outdoor Practical Maximalist Modern Reserved
88,1987.06.12,Female,Noisy Luxury Outdoor Creative Minimalist Traditional Reserved
89,1988.09.13,Male,Noisy Cost-Effective Outdoor Practical Minimalist Traditional Reserved
90,2001.04.04,Male,Calm Cost-Effective Outdoor Practical Maximalist Modern Reserved
91,1995.04.18,Male,Noisy Cost-Effective Indoor Practical Minimalist Modern Reserved
92,2003.10.02,Male,Calm Cost-Effective Indoor Creative Minimalist Modern Reserved
93,2004.06.09,Male,Noisy Cost-Effective Indoor Practical Minimalist Traditional Outgoing
94,1986.04.22,Female,Calm Luxury Indoor Practical Minimalist Traditional Outgoing
95,2000.09.15,Male,Noisy Cost-Effective Indoor Practical Maximalist Traditional Outgoing
96,2005.03.18,Male,Noisy Luxury Outdoor Creative Minimalist Traditional Outgoing
97,2005.11.25,Female,Calm Luxury Outdoor Practical Minimalist Traditional Outgoing
98,2004.08.01,Male,Calm Cost-Effective Outdoor Practical Minimalist Modern Reserved
99,1993.12.27,Female,Noisy Cost-Effective Indoor Creative Maximalist Modern Outgoing